zipcode,population,pop_density
94615,861,1086.7
94617,861,1086.7
94618,17041,2553.7
94619,24308,576.2
94620,24308,576.2
94621,35287,1483.2
94622,35287,1483.2
94623,35287,1483.2
94624,35287,1483.2
94649,35287,1483.2
94659,35287,1483.2
94660,35287,1483.2
94661,35287,1483.2
94662,35287,1483.2
94666,35287,1483.2
94701,35287,1483.2
94702,17092,4842.7
94703,21937,5734.2
94704,29190,9255.7
94705,13365,1490.8
94706,21040,5128.1
94707,11916,2667
94708,11455,1250.5
94709,11740,7754.4
94710,7461,1246.2
94712,7461,1246.2
94720,2971,1840.3
95646,76,15.9
96120,1044,1.8
95601,144,43.6
95629,795,6.9
95640,10977,38
95642,6826,41.7
95644,6826,41.7
95654,563,39.5
95665,4664,84.2
95666,5113,37
95669,2348,10.7
95675,607,213.4
95685,4711,36.6
